Pers.No.,Termd,TermType,ReasonForLeaving,Rehire,BusinessUnit,EESubgroup,EEGroup,Commission,RecentRating,Tenure,Paygrade,TimeInPaygrade,PercentOfMarket,FinalPay,BeginPay,ChangeSince2020,PayIncreases,EdAssist,Sex,POC,Age,Promotion,DevRole,AppliedToJobs,HiredInJobs,PercentOfJobHired
1407,0,2,,0,IT,1,Full-Time,0,0,0.27,1J,0.03,1.16,70445,39965,0.76,1,0,0,2,24.95,0,0,2,2,1
1408,0,2,,0,Net Svcs,0,Full-Time,0,0,0.24,ACQ,0.24,0.81,44200,44200,0,0,0,1,1,47.5,0,0,1,1,1
1409,0,2,,0,Marketing,0,Full-Time,0,4,0.27,D3,0.27,0.93,52220,52220,0,0,0,0,1,50.97,0,0,1,1,1
1410,0,2,,0,CCO,1,Full-Time,1,0,0.24,1J,0.24,0.52,38120,38120,0,0,0,1,1,53.55,0,0,1,1,1
1411,0,2,,0,CCO,0,Full-Time,1,0,0.27,D2,0.27,0.85,36485,36485,0,0,0,0,1,26.68,0,0,1,1,1
1412,0,2,,0,CCO,0,Full-Time,1,0,0.27,D2,0.27,0.85,36580,36580,0,0,0,0,2,36.34,0,0,1,1,1
1413,0,2,,0,CCO,0,Full-Time,1,0,0.27,D2,0.27,0.85,36715,36715,0,0,0,0,1,20.12,0,0,1,1,1
1414,0,2,,0,Marketing,1,Full-Time,0,4,0.26,1J,0.26,0.97,62660,62660,0,0,0,0,1,35.94,0,0,1,1,1
1415,0,2,,0,CCO,1,Full-Time,1,3,0.26,5A,0.26,0.78,149525,149525,0,0,0,1,1,56.35,0,0,1,1,1
1416,1,0,Resigned-Personal Reasons,0,CCO,0,Full-Time,1,3,0.06,D2,0.06,0.85,36550,36550,0,0,0,1,2,19.74,0,0,1,1,1
1417,0,2,,0,CCO,0,Full-Time,0,0,0.27,D2,0.27,0.95,41215,41215,0,0,0,0,2,30.89,0,0,1,1,1
1418,0,2,,0,Net Svcs,0,Full-Time,0,0,0.26,2H,0.26,0.82,45175,45175,0,0,0,1,1,30.13,0,0,1,1,1
1419,0,2,,0,Net Svcs,0,Full-Time,0,3,0.26,2H,0.26,0.95,52440,52440,0,0,0,1,1,38.75,0,0,1,1,1
1420,0,2,,0,Marketing,1,Full-Time,0,3,0.26,2A,0.26,0.88,75760,75760,0,0,0,0,1,52.77,0,0,1,1,1
1421,0,2,,0,Field Svcs,0,Full-Time,0,3,0.26,1H,0.26,0.89,41740,41740,0,0,0,0,1,52.4,0,0,1,1,1
1422,0,2,,0,Field Svcs,0,Full-Time,0,4,0.24,2H,0.24,0.88,48160,48160,0,0,0,1,1,23.11,0,0,1,1,1
1423,0,2,,0,Field Svcs,0,Full-Time,0,4,0.24,2H,0.24,0.95,52775,52775,0,0,0,1,1,44.94,0,0,1,1,1
1424,0,2,,0,Net Svcs,0,Temp,0,0,0.26,ACQ,0.26,1.01,32015,32015,0,0,0,0,1,26.25,0,0,1,1,1
1425,0,2,,0,Field Svcs,0,Full-Time,0,4,0.24,2H,0.24,0.92,50410,50410,0,0,0,1,1,47.06,0,0,1,1,1
1426,0,2,,0,IT,1,Full-Time,0,3,0.23,1A,0.23,0.9,72445,72445,0,0,0,1,1,48.38,0,0,1,1,1
1427,0,2,,0,Giro,0,Part-Time,0,0,0.25,D3,0.25,0.93,32935,41775,-0.21,1,0,0,1,46.59,0,0,1,1,1
1428,0,2,,0,Network Ops,0,Temp,0,0,0.24,ACQ,0.24,1.01,40120,40120,0,0,0,0,1,21.31,0,0,1,1,1
1429,0,2,,0,HR,1,Full-Time,0,3,0.22,4A,0.22,1.02,116300,116300,0,0,0,0,1,48.19,0,0,1,1,1
1430,0,2,,0,Field Svcs,0,Full-Time,0,4,0.24,2H,0.24,0.88,48410,48410,0,0,0,1,1,35.84,0,0,1,1,1
1431,0,2,,0,Net Svcs,0,Full-Time,0,4,0.24,2H,0.24,0.97,50305,50305,0,0,0,1,1,29.55,0,0,1,1,1
1432,1,0,Resigned-Personal Reasons,0,CCO,0,Full-Time,0,3,0.05,D2,0.05,0.81,35250,35250,0,0,0,0,0,40.64,0,0,1,1,1
1433,0,2,,0,IT,1,Full-Time,0,3,0.25,1A,0.25,1.18,90345,90345,0,0,0,1,2,33.11,0,0,1,1,1
1434,1,0,Res-Dissat w/Job Content,0,IT,1,Full-Time,0,2,0.09,1A,0.09,0.85,68195,68195,0,0,0,1,1,50.62,0,0,1,1,1
