Pers.No.,Termd,TermType,ReasonForLeaving,Rehire,BusinessUnit,EESubgroup,EEGroup,Commission,RecentRating,Tenure,Paygrade,TimeInPaygrade,PercentOfMarket,FinalPay,BeginPay,ChangeSince2020,PayIncreases,EdAssist,Sex,POC,Age,Promotion,DevRole,AppliedToJobs,HiredInJobs,PercentOfJobHired
2485,1,0,Resigned-Personal Reasons,0,CCO,1,Full-Time,0,4,14.83,3E,1.76,0.92,70970,57324.8,0.24,5,0,0,1,38.01,1,1,7,3,0.43
2492,0,2,,0,Field Svcs,1,Full-Time,0,4,14.8,3E,0.84,0.82,62610,48630.4,0.29,5,0,0,1,39.53,1,0,5,2,0.4
2504,0,2,,0,Finance,1,Full-Time,0,3,14.5,3E,0.68,1.15,88650,72000,0.23,5,1,0,1,38.4,1,0,16,3,0.19
2539,0,2,,0,Network Ops,0,Full-Time,0,3,13.8,1E(N),0.84,0.83,47257.6,36649.6,0.29,5,0,1,1,66.11,2,1,3,2,0.67
2552,0,2,,0,Field Svcs,0,Full-Time,0,4,13.56,5H,2.02,1.02,68827.2,48443.2,0.42,5,0,1,1,51.06,1,0,1,1,1
2569,0,2,,0,Finance,1,Full-Time,0,3,13.32,2E,0.11,0.9,58660,45011.2,0.3,5,0,1,1,42.18,1,0,2,2,1
2581,0,2,,0,Finance,1,Full-Time,0,4,11.36,4E,0.62,0.95,82300,58000,0.42,5,1,0,1,37.18,2,0,5,3,0.6
2626,0,2,,0,Network Ops,1,Full-Time,0,4,11.91,6E,0.68,0.83,105000,69924,0.5,5,0,1,1,33.83,2,0,5,4,0.8
2627,0,2,,0,Net Svcs,1,Full-Time,0,4,11.88,3E,1.03,0.84,67840,47944,0.41,5,0,1,1,44.82,2,0,12,2,0.17
2640,0,2,,0,HR,1,Full-Time,0,4,8.54,4E,1.75,1.1,94760,70300,0.35,5,0,0,1,33.63,1,0,4,3,0.75
2829,0,2,,0,Field Svcs,0,Full-Time,0,4,9.94,4H,0.87,0.89,54600,36920,0.48,5,0,1,2,44.23,1,0,2,1,0.5
2830,0,2,,0,Field Svcs,0,LOA,0,3,10.75,4H,0.87,0.92,56097.6,44179.2,0.27,5,0,1,1,39.48,0,0,1,1,1
2831,0,2,,0,Field Svcs,0,Full-Time,0,4,14.36,5H,0.87,0.96,64188.8,50918.4,0.26,5,0,1,2,40.42,0,0,1,1,1
2837,0,2,,0,Field Svcs,0,Full-Time,0,3,9.47,4H,0.87,0.94,57449.6,46238.4,0.24,5,0,1,1,40.35,0,0,1,1,1
2839,0,2,,0,Field Svcs,1,Full-Time,0,3,8.4,4E,0.84,0.82,70340,47840,0.47,5,0,1,2,41.89,1,0,3,2,0.67
2846,0,2,,0,Field Svcs,0,Full-Time,0,4,12.54,4H,0.87,0.87,53081.6,40123.2,0.32,5,0,1,1,46.17,2,0,5,2,0.4
2849,0,2,,0,Field Svcs,0,Full-Time,0,3,15.83,4H,0.87,0.87,53206.4,44449.6,0.2,5,0,1,1,62.27,0,0,1,1,1
177,1,0,Resigned-Personal Reasons,0,CCO,1,Full-Time,1,0,0.18,1E,0.18,0.27,21000,21000,0,0,0,0,2,31.09,0,0,1,1,1
200,1,1,Dismissed-End of Introductory Period,0,CCO,1,Full-Time,1,0,0.19,1E,0.19,0.27,21000,21000,0,0,0,1,1,30.19,0,0,1,1,1
2864,0,2,,0,Net Svcs,1,Full-Time,0,5,15.83,6E,0.18,0.87,110000,67450,0.63,5,0,1,1,43.15,3,0,5,3,0.6
227,1,1,Dismissed-End of Introductory Period,0,CCO,1,Full-Time,1,0,0.33,1E,0.33,0.27,21000,21000,0,0,0,0,2,21.85,0,0,1,1,1
2896,0,2,,0,Field Svcs,0,Full-Time,0,3,8.77,4H,0.87,0.92,56139.2,47590.4,0.18,5,0,1,1,52.03,0,0,1,1,1
2899,0,2,,0,CCO,1,Full-Time,0,3,8.71,2E,0.24,0.8,52100,40747.2,0.28,5,0,0,1,43.28,1,1,7,3,0.43
2910,0,2,,0,IT,1,Full-Time,0,5,8.46,4E,2.14,1.04,96780,68110,0.42,5,0,1,1,31.55,1,0,1,1,1
2914,0,2,,0,Field Svcs,0,Full-Time,0,4,5.05,4H,0.87,0.91,53040,41204.8,0.29,5,0,1,1,36.27,0,0,2,2,1
2931,0,2,,0,Finance,1,Full-Time,0,3,8.06,2E,0.11,0.9,58660,45468.8,0.29,5,0,1,2,56.39,1,0,2,2,1
2938,0,2,,0,IT,1,Full-Time,0,5,7.96,4E,1.14,1.06,98470,74550,0.32,5,0,1,1,34.23,1,0,1,1,1
2940,0,2,,0,Net Svcs,1,Full-Time,0,5,7.94,4E,0.99,0.88,82040,50200,0.63,5,0,0,1,38.93,2,0,6,4,0.67
2947,0,2,,0,CCO,1,Full-Time,0,3,7.86,4E,0.57,0.81,70240,40747.2,0.72,5,0,1,1,63.66,2,1,6,3,0.5
2961,0,2,,0,Network Ops,1,Full-Time,0,4,14.48,6E,1.72,0.83,105000,76260,0.38,5,1,1,1,36.38,2,0,3,2,0.67
2969,0,2,,0,Zolo,0,Full-Time,0,4,7.9,2H,0.07,0.88,41600,32448,0.28,5,0,1,1,33.6,1,0,6,4,0.67
2977,0,2,,0,Zolo,0,Full-Time,0,4,14.48,4H,0.07,0.85,52000,44220.8,0.18,5,0,1,1,47.52,2,0,3,2,0.67
3042,0,2,,0,HR,1,Full-Time,0,3,16.56,3E,1.37,1.01,77250,62171.2,0.24,5,0,1,1,54.16,1,0,4,3,0.75
3045,0,2,,0,Field Svcs,0,Full-Time,0,3,8.94,6H,0.87,1,73382.4,53040,0.38,5,0,1,1,29.61,0,0,4,2,0.5
3047,0,2,,0,Net Svcs,1,Full-Time,0,4,10.29,5E,0.85,0.83,88900,60000,0.48,5,0,1,1,35.14,2,0,3,2,0.67
3053,0,2,,0,Field Svcs,0,Full-Time,0,4,8.92,5H,0.87,0.97,64833.6,52312,0.24,5,0,1,1,36.72,1,0,20,2,0.1
